Ticket ID,Ticket_Date,Ticket Priority,Ticket Channel,Ticket Type,Product Purchased,Resolution_Hours,Is_SLA_Breach,Breach_Cost,Breach_Cost,Pred_Breach_Prob,Risk_Bucket
3,2023-02-21,Low,Social media,Technical issue,Dell XPS,10.85,False,0,0,0.02453210770038743,Low Risk
5,2023-01-15,Low,Email,Billing inquiry,Autodesk AutoCAD,22.683333333333334,False,0,0,0.070240938258623,Low Risk
12,2023-03-13,High,Chat,Product inquiry,Microsoft Xbox Controller,2.3666666666666667,False,0,0,0.6817405282330707,High Risk
20,2023-03-02,Low,Chat,Refund request,Canon EOS,22.716666666666665,False,0,0,0.09989504592095354,Low Risk
29,2023-01-21,Critical,Phone,Technical issue,Fitbit Charge,9.766666666666667,True,500,500,0.8991897947899316,High Risk
30,2023-03-24,Medium,Phone,Cancellation request,Xbox,22.483333333333334,False,0,0,0.127316431684875,Low Risk
32,2023-03-28,Medium,Social media,Technical issue,GoPro Action Camera,4.566666666666666,False,0,0,0.023524741931085277,Low Risk
34,2023-03-16,Critical,Social media,Refund request,Autodesk AutoCAD,19.4,True,500,500,0.8832881891267129,High Risk
47,2023-03-16,High,Phone,Refund request,Nintendo Switch Pro Controller,9.683333333333334,True,200,200,0.7944610866269344,High Risk
48,2023-03-29,Medium,Social media,Technical issue,GoPro Hero,3.716666666666667,False,0,0,0.05286351358157366,Low Risk
53,2023-01-24,High,Social media,Refund request,Nest Thermostat,23.083333333333332,True,200,200,0.8138389683565954,High Risk
54,2023-01-03,Low,Chat,Cancellation request,HP Pavilion,11.766666666666667,False,0,0,0.05311709873715881,Low Risk
61,2023-01-22,Medium,Chat,Cancellation request,Sony 4K HDR TV,12.616666666666667,False,0,0,0.14534162707426512,Low Risk
63,2023-02-22,High,Email,Billing inquiry,Xbox,14.066666666666666,True,200,200,0.7186690189243933,High Risk
67,2023-01-02,High,Email,Billing inquiry,GoPro Hero,8.183333333333334,True,200,200,0.7273212125323993,High Risk
73,2023-03-29,Low,Chat,Billing inquiry,Dyson Vacuum Cleaner,0.7,False,0,0,0.03661111818048214,Low Risk
83,2023-01-30,Low,Social media,Refund request,PlayStation,18.916666666666668,False,0,0,0.02903137871336528,Low Risk
90,2023-02-07,Medium,Email,Product inquiry,Sony Xperia,4.866666666666666,False,0,0,0.16330927957735397,Low Risk
96,2023-01-02,High,Chat,Product inquiry,Autodesk AutoCAD,21.516666666666666,True,200,200,0.6943156288741695,High Risk
99,2023-03-05,High,Chat,Billing inquiry,Samsung Galaxy,12.666666666666666,True,200,200,0.696691803584303,High Risk
103,2023-03-01,Critical,Email,Refund request,Asus ROG,15.266666666666667,True,500,500,0.8810071938219539,High Risk
107,2023-01-21,Low,Email,Cancellation request,Nintendo Switch,14.133333333333333,False,0,0,0.03335634365758397,Low Risk
109,2023-02-02,Critical,Chat,Technical issue,Dyson Vacuum Cleaner,6.333333333333333,True,500,500,0.8310583930418529,High Risk
111,2023-03-17,High,Email,Cancellation request,Amazon Echo,11.483333333333333,True,200,200,0.6964612301639752,High Risk
117,2023-02-27,High,Email,Cancellation request,iPhone,3.25,False,0,0,0.34813565146163356,Medium Risk
118,2023-01-22,Medium,Phone,Billing inquiry,Google Nest,6.033333333333333,False,0,0,0.1394866066953412,Low Risk
120,2023-03-30,Low,Phone,Billing inquiry,Fitbit Charge,12.45,False,0,0,0.038430929350515876,Low Risk
129,2023-02-18,Medium,Email,Cancellation request,Adobe Photoshop,3.283333333333333,False,0,0,0.12887639641360005,Low Risk
138,2023-02-28,Low,Chat,Technical issue,Amazon Echo,3.2,False,0,0,0.03908168866492396,Low Risk
139,2023-02-11,Critical,Chat,Product inquiry,Adobe Photoshop,11.1,True,500,500,0.8864456946885959,High Risk
149,2023-03-01,High,Chat,Refund request,LG Washing Machine,8.166666666666666,True,200,200,0.7127335786265556,High Risk
150,2023-03-21,Critical,Email,Technical issue,Philips Hue Lights,4.466666666666667,True,500,500,0.7225115734153393,High Risk
162,2023-01-15,High,Phone,Refund request,HP Pavilion,14.65,True,200,200,0.7869784208549865,High Risk
165,2023-03-03,Low,Social media,Billing inquiry,HP Pavilion,3.783333333333333,False,0,0,0.020907224192797814,Low Risk
167,2023-03-03,Medium,Email,Refund request,Xbox,6.9,False,0,0,0.06330956282673023,Low Risk
171,2023-02-16,Low,Social media,Billing inquiry,Microsoft Office,4.9,False,0,0,0.019690350509523447,Low Risk
183,2023-03-03,High,Chat,Product inquiry,Samsung Soundbar,7.083333333333333,False,0,0,0.7043803329498807,High Risk
184,2023-02-20,Medium,Phone,Billing inquiry,Google Pixel,6.216666666666667,False,0,0,0.0888767281134382,Low Risk
195,2023-02-24,Medium,Social media,Billing inquiry,Samsung Soundbar,8.683333333333334,False,0,0,0.022332585878923717,Low Risk
198,2023-03-05,High,Chat,Refund request,MacBook Pro,0.7,False,0,0,0.7595637947623585,High Risk
199,2023-01-03,Critical,Chat,Cancellation request,Amazon Echo,23.283333333333335,True,500,500,0.9132811271349829,High Risk
200,2023-02-20,Medium,Chat,Product inquiry,Canon EOS,9.916666666666666,False,0,0,0.05990777278919791,Low Risk
